CRIM,ZN,INDUS,CHAS,RM,AGE,TAX,B,LSTAT,MEDV
0.09744,0,5.96,0,5.841,61.4,279,11.41,20,377.56
0.08014,0,5.96,0,5.85,41.5,279,8.77,21,396.9
0.17505,0,5.96,0,5.966,30.2,279,10.13,24.7,393.43
0.02763,75,2.95,0,6.595,21.8,252,4.32,30.8,395.63
0.03359,75,2.95,0,7.024,15.8,252,1.98,34.9,395.62
0.12744,0,6.91,0,6.77,2.9,233,4.84,26.6,385.41
0.1415,0,6.91,0,6.169,6.6,233,5.81,25.3,383.37
0.15936,0,6.91,0,6.211,6.5,233,7.44,24.7,394.46
0.12269,0,6.91,0,6.069,40,233,9.55,21.2,389.39
0.17142,0,6.91,0,5.682,33.8,233,10.21,19.3,396.9
0.18836,0,6.91,0,5.786,33.3,233,14.15,20,396.9
0.22927,0,6.91,0,6.03,85.5,233,18.8,16.6,392.74
0.25387,0,6.91,0,5.399,95.3,233,30.81,14.4,396.9
0.21977,0,6.91,0,5.602,62,233,16.2,19.4,396.9
0.08873,21,5.64,0,5.963,45.7,243,13.45,19.7,395.56
0.04337,21,5.64,0,6.115,63,243,9.43,20.5,393.97
0.0536,21,5.64,0,6.511,21.1,243,5.28,25,396.9
0.04981,21,5.64,0,5.998,21.4,243,8.43,23.4,396.9
0.0136,75,4,0,5.888,47.6,469,14.8,18.9,396.9
0.01311,90,1.22,0,7.249,21.9,226,4.81,35.4,395.93
0.02055,85,0.74,0,6.383,35.7,313,5.77,24.7,396.9
0.01432,100,1.32,0,6.816,40.5,256,3.95,31.6,392.9
0.15445,25,5.13,0,6.145,29.2,284,6.86,23.3,390.68
0.10328,25,5.13,0,5.927,47.2,284,9.22,19.6,396.9
0.14932,25,5.13,0,5.741,66.2,284,13.15,18.7,395.11
0.17171,25,5.13,0,5.966,93.4,284,14.44,16,378.08
0.11027,25,5.13,0,6.456,67.8,284,6.73,22.2,396.9
0.1265,25,5.13,0,6.762,43.4,284,9.5,25,395.58
0.01951,17.5,1.38,0,7.104,59.5,216,8.05,33,393.24
0.03584,80,3.37,0,6.29,17.8,337,4.67,23.5,396.9
0.04379,80,3.37,0,5.787,31.1,337,10.24,19.4,396.9
0.05789,12.5,6.07,0,5.878,21.4,345,8.1,22,396.21
0.13554,12.5,6.07,0,5.594,36.8,345,13.09,17.4,396.9
0.12816,12.5,6.07,0,5.885,33,345,8.79,20.9,396.9
0.08826,0,10.81,0,6.417,6.6,305,6.72,24.2,383.73
0.15876,0,10.81,0,5.961,17.5,305,9.88,21.7,376.94
0.09164,0,10.81,0,6.065,7.8,305,5.52,22.8,390.91
0.19539,0,10.81,0,6.245,6.2,305,7.54,23.4,377.17
0.07896,0,12.83,0,6.273,6,398,6.78,24.1,394.92
0.09512,0,12.83,0,6.286,45,398,8.94,21.4,383.23
0.10153,0,12.83,0,6.279,74.5,398,11.97,20,373.66
0.08707,0,12.83,0,6.14,45.8,398,10.27,20.8,386.96
0.05646,0,12.83,0,6.232,53.7,398,12.34,21.2,386.4
0.08387,0,12.83,0,5.874,36.6,398,9.1,20.3,396.06
0.04113,25,4.86,0,6.727,33.5,281,5.29,28,396.9
0.04462,25,4.86,0,6.619,70.4,281,7.22,23.9,395.63
0.03659,25,4.86,0,6.302,32.2,281,6.72,24.8,396.9
0.03551,25,4.86,0,6.167,46.7,281,7.51,22.9,390.64
0.05059,0,4.49,0,6.389,48,247,9.62,23.9,396.9
0.05735,0,4.49,0,6.63,56.1,247,6.53,26.6,392.3
0.05188,0,4.49,0,6.015,45.1,247,12.86,22.5,395.99
0.07151,0,4.49,0,6.121,56.8,247,8.44,22.2,395.15
0.0566,0,3.41,0,7.007,86.3,270,5.5,23.6,396.9
0.05302,0,3.41,0,7.079,63.1,270,5.7,28.7,396.06
0.04684,0,3.41,0,6.417,66.1,270,8.81,22.6,392.18
0.03932,0,3.41,0,6.405,73.9,270,8.2,22,393.55
0.04203,28,15.04,0,6.442,53.6,270,8.16,22.9,395.01
0.02875,28,15.04,0,6.211,28.9,270,6.21,25,396.33
0.04294,28,15.04,0,6.249,77.3,270,10.59,20.6,396.9
0.12204,0,2.89,0,6.625,57.8,276,6.65,28.4,357.98
0.11504,0,2.89,0,6.163,69.6,276,11.34,21.4,391.83
0.12083,0,2.89,0,8.069,76,276,4.21,38.7,396.9
0.08187,0,2.89,0,7.82,36.9,276,3.57,43.8,393.53
0.0686,0,2.89,0,7.416,62.5,276,6.19,33.2,396.9
0.14866,0,8.56,0,6.727,79.9,384,9.42,27.5,394.76
0.11432,0,8.56,0,6.781,71.3,384,7.67,26.5,395.58
0.21161,0,8.56,0,6.137,87.4,384,13.44,19.3,394.47
0.1396,0,8.56,0,6.167,90,384,12.33,20.1,392.69
0.13262,0,8.56,0,5.851,96.7,384,16.47,19.5,394.05
0.1712,0,8.56,0,5.836,91.9,384,18.66,19.5,395.67
0.13117,0,8.56,0,6.127,85.2,384,14.09,20.4,387.69
0.12802,0,8.56,0,6.474,97.1,384,12.27,19.8,395.24
0.26363,0,8.56,0,6.229,91.2,384,15.55,19.4,391.23
0.10793,0,8.56,0,6.195,54.4,384,13,21.7,393.49
0.10084,0,10.01,0,6.715,81.6,432,10.16,22.8,395.59
0.12329,0,10.01,0,5.913,92.9,432,16.21,18.8,394.95
0.22212,0,10.01,0,6.092,95.4,432,17.09,18.7,396.9
0.14231,0,10.01,0,6.254,84.2,432,10.45,18.5,388.74
0.17134,0,10.01,0,5.928,88.2,432,15.76,18.3,344.91
0.13158,0,10.01,0,6.176,72.5,432,12.04,21.2,393.3
0.15098,0,10.01,0,6.021,82.6,432,10.3,19.2,394.51
0.13058,0,10.01,0,5.872,73.1,432,15.37,20.4,338.63
0.14476,0,10.01,0,5.731,65.2,432,13.61,19.3,391.5
0.06899,0,25.65,0,5.87,69.7,188,14.37,22,389.15
0.07165,0,25.65,0,6.004,84.1,188,14.27,20.3,377.67
0.09299,0,25.65,0,5.961,92.9,188,17.93,20.5,378.09
0.15038,0,25.65,0,5.856,97,188,25.41,17.3,370.31
0.09849,0,25.65,0,5.879,95.8,188,17.58,18.8,379.38
0.16902,0,25.65,0,5.986,88.4,188,14.81,21.4,385.02
0.38735,0,25.65,0,5.613,95.6,188,27.26,15.7,359.29
0.25915,0,21.89,0,5.693,96,437,17.19,16.2,392.11
0.32543,0,21.89,0,6.431,98.8,437,15.39,18,396.9
0.88125,0,21.89,0,5.637,94.7,437,18.34,14.3,396.9
0.34006,0,21.89,0,6.458,98.9,437,12.6,19.2,395.04
1.19294,0,21.89,0,6.326,97.7,437,12.26,19.6,396.9
0.59005,0,21.89,0,6.372,97.9,437,11.12,23,385.76
0.32982,0,21.89,0,5.822,95.4,437,15.03,18.4,388.69
0.97617,0,21.89,0,5.757,98.4,437,17.31,15.6,262.76
0.55778,0,21.89,0,6.335,98.2,437,16.96,18.1,394.67
0.32264,0,21.89,0,5.942,93.5,437,16.9,17.4,378.25
0.35233,0,21.89,0,6.454,98.4,437,14.59,17.1,394.08
0.2498,0,21.89,0,5.857,98.2,437,21.32,13.3,392.04
0.54452,0,21.89,0,6.151,97.9,437,18.46,17.8,396.9
0.2909,0,21.89,0,6.174,93.6,437,24.16,14,388.08
1.62864,0,21.89,0,5.019,100,437,34.41,14.4,396.9
3.32105,0,19.58,1,5.403,100,403,26.82,13.4,396.9
4.0974,0,19.58,0,5.468,100,403,26.42,15.6,396.9
2.77974,0,19.58,0,4.903,97.8,403,29.29,11.8,396.9
2.37934,0,19.58,0,6.13,100,403,27.8,13.8,172.91
2.15505,0,19.58,0,5.628,100,403,16.65,15.6,169.27
2.36862,0,19.58,0,4.926,95.7,403,29.53,14.6,391.71
2.33099,0,19.58,0,5.186,93.8,403,28.32,17.8,356.99
2.73397,0,19.58,0,5.597,94.9,403,21.45,15.4,351.85
1.6566,0,19.58,0,6.122,97.3,403,14.1,21.5,372.8
1.49632,0,19.58,0,5.404,100,403,13.28,19.6,341.6
1.12658,0,19.58,1,5.012,88,403,12.12,15.3,343.28
2.14918,0,19.58,0,5.709,98.5,403,15.79,19.4,261.95
1.41385,0,19.58,1,6.129,96,403,15.12,17,321.02
1.22358,0,19.58,0,6.943,97.4,403,4.59,41.3,363.43
1.34284,0,19.58,0,6.066,100,403,6.43,24.3,353.89
1.42502,0,19.58,0,6.51,100,403,7.39,23.3,364.31
1.27346,0,19.58,1,6.25,92.6,403,5.5,27,338.92
1.46336,0,19.58,0,7.489,90.8,403,1.73,50,374.43
1.83377,0,19.58,1,7.802,98.2,403,1.92,50,389.61
1.51902,0,19.58,1,8.375,93.9,403,3.32,50,388.45
2.24236,0,19.58,0,5.854,91.8,403,11.64,22.7,395.11
2.924,0,19.58,0,6.101,93,403,9.81,25,240.16
2.01019,0,19.58,0,7.929,96.2,403,3.7,50,369.3
1.80028,0,19.58,0,5.877,79.2,403,12.14,23.8,227.61
2.3004,0,19.58,0,6.319,96.1,403,11.1,23.8,297.09
2.44953,0,19.58,0,6.402,95.2,403,11.32,22.3,330.04
1.20742,0,19.58,0,5.875,94.6,403,14.43,17.4,292.29
2.3139,0,19.58,0,5.88,97.3,403,12.03,19.1,348.13
0.13914,0,4.05,0,5.572,88.5,296,14.69,23.1,396.9
0.09178,0,4.05,0,6.416,84.1,296,9.04,23.6,395.5
0.08447,0,4.05,0,5.859,68.7,296,9.64,22.6,393.23
0.06664,0,4.05,0,6.546,33.1,296,5.33,29.4,390.96
0.07022,0,4.05,0,6.02,47.2,296,10.11,23.2,393.23
0.05425,0,4.05,0,6.315,73.4,296,6.29,24.6,395.6
0.06642,0,4.05,0,6.86,74.4,296,6.92,29.9,391.27
0.0578,0,2.46,0,6.98,58.4,193,5.04,37.2,396.9
0.06588,0,2.46,0,7.765,83.3,193,7.56,39.8,395.56
0.06888,0,2.46,0,6.144,62.2,193,9.45,36.2,396.9
0.09103,0,2.46,0,7.155,92.2,193,4.82,37.9,394.12
0.10008,0,2.46,0,6.563,95.6,193,5.68,32.5,396.9
0.08308,0,2.46,0,5.604,89.8,193,13.98,26.4,391
0.06047,0,2.46,0,6.153,68.8,193,13.15,29.6,387.11
0.05602,0,2.46,0,7.831,53.6,193,4.45,50,392.63
0.07875,45,3.44,0,6.782,41.1,398,6.68,32,393.87
0.12579,45,3.44,0,6.556,29.1,398,4.56,29.8,382.84
0.0837,45,3.44,0,7.185,38.9,398,5.39,34.9,396.9
0.09068,45,3.44,0,6.951,21.5,398,5.1,37,377.68
0.06911,45,3.44,0,6.739,30.8,398,4.69,30.5,389.71
0.08664,45,3.44,0,7.178,26.3,398,2.87,36.4,390.49
0.02187,60,2.93,0,6.8,9.9,265,5.03,31.1,393.37
0.01439,60,2.93,0,6.604,18.8,265,4.38,29.1,376.7
0.01381,80,0.46,0,7.875,32,255,2.97,50,394.23
0.04011,80,1.52,0,7.287,34.1,329,4.08,33.3,396.9
0.04666,80,1.52,0,7.107,36.6,329,8.61,30.3,354.31
0.03768,80,1.52,0,7.274,38.3,329,6.62,34.6,392.2
0.0315,95,1.47,0,6.975,15.3,402,4.56,34.9,396.9
0.01778,95,1.47,0,7.135,13.9,402,4.45,32.9,384.3
0.03445,82.5,2.03,0,6.162,38.4,348,7.43,24.1,393.77
0.02177,82.5,2.03,0,7.61,15.7,348,3.11,42.3,395.38
0.0351,95,2.68,0,7.853,33.2,224,3.81,48.5,392.78
0.02009,95,2.68,0,8.034,31.9,224,2.88,50,390.55
0.13642,0,10.59,0,5.891,22.3,277,10.87,22.6,396.9
0.22969,0,10.59,0,6.326,52.5,277,10.97,24.4,394.87
0.25199,0,10.59,0,5.783,72.7,277,18.06,22.5,389.43
0.13587,0,10.59,1,6.064,59.1,277,14.66,24.4,381.32
0.43571,0,10.59,1,5.344,100,277,23.09,20,396.9
0.17446,0,10.59,1,5.96,92.1,277,17.27,21.7,393.25
0.37578,0,10.59,1,5.404,88.6,277,23.98,19.3,395.24
0.21719,0,10.59,1,5.807,53.8,277,16.03,22.4,390.94
0.14052,0,10.59,0,6.375,32.3,277,9.38,28.1,385.81
0.28955,0,10.59,0,5.412,9.8,277,29.55,23.7,348.93
0.19802,0,10.59,0,6.182,42.4,277,9.47,25,393.63
0.0456,0,13.89,1,5.888,56,276,13.51,23.3,392.8
0.07013,0,13.89,0,6.642,85.1,276,9.69,28.7,392.78
0.11069,0,13.89,1,5.951,93.8,276,17.92,21.5,396.9
0.11425,0,13.89,1,6.373,92.4,276,10.5,23,393.74
0.35809,0,6.2,1,6.951,88.5,307,9.71,26.7,391.7
0.40771,0,6.2,1,6.164,91.3,307,21.46,21.7,395.24
0.62356,0,6.2,1,6.879,77.7,307,9.93,27.5,390.39
0.6147,0,6.2,0,6.618,80.8,307,7.6,30.1,396.9
0.31533,0,6.2,0,8.266,78.3,307,4.14,44.8,385.05
0.52693,0,6.2,0,8.725,83,307,4.63,50,382
0.38214,0,6.2,0,8.04,86.5,307,3.13,37.6,387.38
0.41238,0,6.2,0,7.163,79.9,307,6.36,31.6,372.08
0.29819,0,6.2,0,7.686,17,307,3.92,46.7,377.51
0.44178,0,6.2,0,6.552,21.4,307,3.76,31.5,380.34
0.537,0,6.2,0,5.981,68.1,307,11.65,24.3,378.35
0.46296,0,6.2,0,7.412,76.9,307,5.25,31.7,376.14
0.57529,0,6.2,0,8.337,73.3,307,2.47,41.7,385.91
0.33147,0,6.2,0,8.247,70.4,307,3.95,48.3,378.95
0.44791,0,6.2,1,6.726,66.5,307,8.05,29,360.2
0.33045,0,6.2,0,6.086,61.5,307,10.88,24,376.75
0.52058,0,6.2,1,6.631,76.5,307,9.54,25.1,388.45
0.51183,0,6.2,0,7.358,71.6,307,4.73,31.5,390.07
0.08244,30,4.93,0,6.481,18.5,300,6.36,23.7,379.41
0.09252,30,4.93,0,6.606,42.2,300,7.37,23.3,383.78
0.11329,30,4.93,0,6.897,54.3,300,11.38,22,391.25
0.10612,30,4.93,0,6.095,65.1,300,12.4,20.1,394.62
0.1029,30,4.93,0,6.358,52.9,300,11.22,22.2,372.75
0.12757,30,4.93,0,6.393,7.8,300,5.19,23.7,374.71
0.20608,22,5.86,0,5.593,76.5,330,12.5,17.6,372.49
0.19133,22,5.86,0,5.605,70.2,330,18.46,18.5,389.13
0.33983,22,5.86,0,6.108,34.9,330,9.16,24.3,390.18
0.19657,22,5.86,0,6.226,79.2,330,10.15,20.5,376.14
0.16439,22,5.86,0,6.433,49.1,330,9.52,24.5,374.71
0.19073,22,5.86,0,6.718,17.5,330,6.56,26.2,393.74
0.1403,22,5.86,0,6.487,13,330,5.9,24.4,396.28
0.21409,22,5.86,0,6.438,8.9,330,3.59,24.8,377.07
0.08221,22,5.86,0,6.957,6.8,330,3.53,29.6,386.09
0.36894,22,5.86,0,8.259,8.4,330,3.54,42.8,396.9
0.04819,80,3.64,0,6.108,32,315,6.57,21.9,392.89
0.03548,80,3.64,0,5.876,19.1,315,9.25,20.9,395.18
0.01538,90,3.75,0,7.454,34.2,244,3.11,44,386.34
0.61154,20,3.97,0,8.704,86.9,264,5.12,50,389.7
0.66351,20,3.97,0,7.333,100,264,7.79,36,383.29
0.65665,20,3.97,0,6.842,100,264,6.9,30.1,391.93
0.54011,20,3.97,0,7.203,81.8,264,9.59,33.8,392.8
0.53412,20,3.97,0,7.52,89.4,264,7.26,43.1,388.37
0.52014,20,3.97,0,8.398,91.5,264,5.91,48.8,386.86
0.82526,20,3.97,0,7.327,94.5,264,11.25,31,393.42
0.55007,20,3.97,0,7.206,91.6,264,8.1,36.5,387.89
0.76162,20,3.97,0,5.56,62.8,264,10.45,22.8,392.4
0.7857,20,3.97,0,7.014,84.6,264,14.79,30.7,384.07
0.57834,20,3.97,0,8.297,67,264,7.44,50,384.54
0.5405,20,3.97,0,7.47,52.6,264,3.16,43.5,390.3
0.09065,20,6.96,1,5.92,61.5,223,13.65,20.7,391.34
0.29916,20,6.96,0,5.856,42.1,223,13,21.1,388.65
0.16211,20,6.96,0,6.24,16.3,223,6.59,25.2,396.9
0.1146,20,6.96,0,6.538,58.7,223,7.73,24.4,394.96
0.22188,20,6.96,1,7.691,51.8,223,6.58,35.2,390.77
0.05644,40,6.41,1,6.758,32.9,254,3.53,32.4,396.9
0.09604,40,6.41,0,6.854,42.8,254,2.98,32,396.9
0.10469,40,6.41,1,7.267,49,254,6.05,33.2,389.25
0.06127,40,6.41,1,6.826,27.6,254,4.16,33.1,393.45
0.07978,40,6.41,0,6.482,32.1,254,7.19,29.1,396.9
0.21038,20,3.33,0,6.812,32.2,216,4.85,35.1,396.9
0.03578,20,3.33,0,7.82,64.5,216,3.76,45.4,387.31
0.03705,20,3.33,0,6.968,37.2,216,4.59,35.4,392.23
0.06129,20,3.33,1,7.645,49.7,216,3.01,46,377.07
0.01501,90,1.21,1,7.923,24.8,198,3.16,50,395.52
0.00906,90,2.97,0,7.088,20.8,285,7.85,32.2,394.72
0.01096,55,2.25,0,6.453,31.9,300,8.23,22,394.72
0.01965,80,1.76,0,6.23,31.5,241,12.93,20.1,341.6
0.03871,52.5,5.32,0,6.209,31.3,293,7.14,23.2,396.9
0.0459,52.5,5.32,0,6.315,45.6,293,7.6,22.3,396.9
0.04297,52.5,5.32,0,6.565,22.9,293,9.51,24.8,371.72
0.03502,80,4.95,0,6.861,27.9,245,3.33,28.5,396.9
0.07886,80,4.95,0,7.148,27.7,245,3.56,37.3,396.9
0.03615,80,4.95,0,6.63,23.4,245,4.7,27.9,396.9
0.08265,0,13.92,0,6.127,18.4,289,8.58,23.9,396.9
0.08199,0,13.92,0,6.009,42.3,289,10.4,21.7,396.9
0.12932,0,13.92,0,6.678,31.1,289,6.27,28.6,396.9
0.05372,0,13.92,0,6.549,51,289,7.39,27.1,392.85
0.14103,0,13.92,0,5.79,58,289,15.84,20.3,396.9
0.06466,70,2.24,0,6.345,20.1,358,4.97,22.5,368.24
0.05561,70,2.24,0,7.041,10,358,4.74,29,371.58
0.04417,70,2.24,0,6.871,47.4,358,6.07,24.8,390.86
0.03537,34,6.09,0,6.59,40.4,329,9.5,22,395.75
0.09266,34,6.09,0,6.495,18.4,329,8.67,26.4,383.61
0.1,34,6.09,0,6.982,17.7,329,4.86,33.1,390.43
0.05515,33,2.18,0,7.236,41.1,222,6.93,36.1,393.68
0.05479,33,2.18,0,6.616,58.1,222,8.93,28.4,393.36
0.07503,33,2.18,0,7.42,71.9,222,6.47,33.4,396.9
0.04932,33,2.18,0,6.849,70.3,222,7.53,28.2,396.9
0.49298,0,9.9,0,6.635,82.5,304,4.54,22.8,396.9
0.3494,0,9.9,0,5.972,76.7,304,9.97,20.3,396.24
2.63548,0,9.9,0,4.973,37.8,304,12.64,16.1,350.45
0.79041,0,9.9,0,6.122,52.8,304,5.98,22.1,396.9
0.26169,0,9.9,0,6.023,90.4,304,11.72,19.4,396.3
0.26938,0,9.9,0,6.266,82.8,304,7.9,21.6,393.39
0.3692,0,9.9,0,6.567,87.3,304,9.28,23.8,395.69
0.25356,0,9.9,0,5.705,77.7,304,11.5,16.2,396.42
0.31827,0,9.9,0,5.914,83.2,304,18.33,17.8,390.7
0.24522,0,9.9,0,5.782,71.7,304,15.94,19.8,396.9
0.40202,0,9.9,0,6.382,67.2,304,10.36,23.1,395.21
0.47547,0,9.9,0,6.113,58.8,304,12.73,21,396.23
0.1676,0,7.38,0,6.426,52.3,287,7.2,23.8,396.9
0.18159,0,7.38,0,6.376,54.3,287,6.87,23.1,396.9
0.35114,0,7.38,0,6.041,49.9,287,7.7,20.4,396.9
0.28392,0,7.38,0,5.708,74.3,287,11.74,18.5,391.13
0.34109,0,7.38,0,6.415,40.1,287,6.12,25,396.9
0.19186,0,7.38,0,6.431,14.7,287,5.08,24.6,393.68
0.30347,0,7.38,0,6.312,28.9,287,6.15,23,396.9
0.24103,0,7.38,0,6.083,43.7,287,12.79,22.2,396.9
0.06617,0,3.24,0,5.868,25.8,430,9.97,19.3,382.44
0.06724,0,3.24,0,6.333,17.2,430,7.34,22.6,375.21
0.04544,0,3.24,0,6.144,32.2,430,9.09,19.8,368.57
0.05023,35,6.06,0,5.706,28.4,304,12.43,17.1,394.02
0.03466,35,6.06,0,6.031,23.3,304,7.83,19.4,362.25
0.05083,0,5.19,0,6.316,38.1,224,5.68,22.2,389.71
0.03738,0,5.19,0,6.31,38.5,224,6.75,20.7,389.4
0.03961,0,5.19,0,6.037,34.5,224,8.01,21.1,396.9
0.03427,0,5.19,0,5.869,46.3,224,9.8,19.5,396.9
0.03041,0,5.19,0,5.895,59.6,224,10.56,18.5,394.81
0.03306,0,5.19,0,6.059,37.3,224,8.51,20.6,396.14
0.05497,0,5.19,0,5.985,45.4,224,9.74,19,396.9
0.06151,0,5.19,0,5.968,58.5,224,9.29,18.7,396.9
0.01301,35,1.52,0,7.241,49.3,284,5.49,32.7,394.74
0.02498,0,1.89,0,6.54,59.7,422,8.65,16.5,389.96
0.02543,55,3.78,0,6.696,56.4,370,7.18,23.9,396.9
0.03049,55,3.78,0,6.874,28.1,370,4.61,31.2,387.97
0.03113,0,4.39,0,6.014,48.5,352,10.53,17.5,385.64
0.06162,0,4.39,0,5.898,52.3,352,12.67,17.2,364.61
0.0187,85,4.15,0,6.516,27.7,351,6.36,23.1,392.43
0.01501,80,2.01,0,6.635,29.7,280,5.99,24.5,390.94
0.02899,40,1.25,0,6.939,34.5,335,5.89,26.6,389.85
0.06211,40,1.25,0,6.49,44.4,335,5.98,22.9,396.9
0.0795,60,1.69,0,6.579,35.9,411,5.49,24.1,370.78
0.07244,60,1.69,0,5.884,18.5,411,7.79,18.6,392.33
0.01709,90,2.02,0,6.728,36.1,187,4.5,30.1,384.46
0.04301,80,1.91,0,5.663,21.9,334,8.05,18.2,382.8
0.10659,80,1.91,0,5.936,19.5,334,5.57,20.6,376.04
8.98296,0,18.1,1,6.212,97.4,666,17.6,17.8,377.73
3.8497,0,18.1,1,6.395,91,666,13.27,21.7,391.34
5.20177,0,18.1,1,6.127,83.4,666,11.48,22.7,395.43
4.26131,0,18.1,0,6.112,81.3,666,12.67,22.6,390.74
4.54192,0,18.1,0,6.398,88,666,7.79,25,374.56
3.83684,0,18.1,0,6.251,91.1,666,14.19,19.9,350.65
3.67822,0,18.1,0,5.362,96.2,666,10.19,20.8,380.79
4.22239,0,18.1,1,5.803,89,666,14.64,16.8,353.04
3.47428,0,18.1,1,8.78,82.9,666,5.29,21.9,354.55
4.55587,0,18.1,0,3.561,87.9,666,7.12,27.5,354.7
3.69695,0,18.1,0,4.963,91.4,666,14,21.9,316.03
13.5222,0,18.1,0,3.863,100,666,13.33,23.1,131.42
4.89822,0,18.1,0,4.97,100,666,3.26,50,375.52
5.66998,0,18.1,1,6.683,96.8,666,3.73,50,375.33
6.53876,0,18.1,1,7.016,97.5,666,2.96,50,392.05
9.2323,0,18.1,0,6.216,100,666,9.53,50,366.15
8.26725,0,18.1,1,5.875,89.6,666,8.88,50,347.88
11.1081,0,18.1,0,4.906,100,666,34.77,13.8,396.9
18.4982,0,18.1,0,4.138,100,666,37.97,13.8,396.9
19.6091,0,18.1,0,7.313,97.9,666,13.44,15,396.9
15.288,0,18.1,0,6.649,93.3,666,23.24,13.9,363.02
9.82349,0,18.1,0,6.794,98.8,666,21.24,13.3,396.9
23.6482,0,18.1,0,6.38,96.2,666,23.69,13.1,396.9
17.8667,0,18.1,0,6.223,100,666,21.78,10.2,393.74
88.9762,0,18.1,0,6.968,91.9,666,17.21,10.4,396.9
15.8744,0,18.1,0,6.545,99.1,666,21.08,10.9,396.9
9.18702,0,18.1,0,5.536,100,666,23.6,11.3,396.9
7.99248,0,18.1,0,5.52,100,666,24.56,12.3,396.9
20.0849,0,18.1,0,4.368,91.2,666,30.63,8.8,285.83
16.8118,0,18.1,0,5.277,98.1,666,30.81,7.2,396.9
24.3938,0,18.1,0,4.652,100,666,28.28,10.5,396.9
22.5971,0,18.1,0,5,89.5,666,31.99,7.4,396.9
14.3337,0,18.1,0,4.88,100,666,30.62,10.2,372.92
8.15174,0,18.1,0,5.39,98.9,666,20.85,11.5,396.9
6.96215,0,18.1,0,5.713,97,666,17.11,15.1,394.43
5.29305,0,18.1,0,6.051,82.5,666,18.76,23.2,378.38
11.5779,0,18.1,0,5.036,97,666,25.68,9.7,396.9
8.64476,0,18.1,0,6.193,92.6,666,15.17,13.8,396.9
13.3598,0,18.1,0,5.887,94.7,666,16.35,12.7,396.9
8.71675,0,18.1,0,6.471,98.8,666,17.12,13.1,391.98
5.87205,0,18.1,0,6.405,96,666,19.37,12.5,396.9
7.67202,0,18.1,0,5.747,98.9,666,19.92,8.5,393.1
38.3518,0,18.1,0,5.453,100,666,30.59,5,396.9
9.91655,0,18.1,0,5.852,77.8,666,29.97,6.3,338.16
25.0461,0,18.1,0,5.987,100,666,26.77,5.6,396.9
14.2362,0,18.1,0,6.343,100,666,20.32,7.2,396.9
9.59571,0,18.1,0,6.404,100,666,20.31,12.1,376.11
24.8017,0,18.1,0,5.349,96,666,19.77,8.3,396.9
41.5292,0,18.1,0,5.531,85.4,666,27.38,8.5,329.46
67.9208,0,18.1,0,5.683,100,666,22.98,5,384.97
20.7162,0,18.1,0,4.138,100,666,23.34,11.9,370.22
